;;Estimate;Std. Err.;z;P>|z|;[95% Conf.;Interval]
E[y|c, X];;;;;;;
Comp1;(Intercept) ;0.006;0.028;0.200;0.839;-0.049;0.061
;hr;0.095;0.012;8.250;0.000;0.072;0.117
;lnsigma;-1.274;0.032;-39.900;0.000;-1.336;-1.211
Comp2;(Intercept) ;0.182;0.007;24.500;0.000;0.167;0.196
;hr;0.161;0.002;85.220;0.000;0.157;0.165
;lnsigma;-2.280;0.013;-180.870;0.000;-2.305;-2.256
P[c|X];;;;;;;
Comp1 ;(Intercept) ;2.448;0.172;14.220;0.000;2.785;2.110
;hr;-1.393;0.056;-24.700;0.000;-1.283;-1.504
N = 10549;ll = 953.20;AIC = -1890.407;BIC = -1832.297;;;;
